timestamp,simple-path,time
2021-06-01 23:16:04.523,/master/welcome,244
2021-06-01 23:16:04.713,/master/welcome,158
2021-06-01 23:16:05.459,/master/sign-in,603
2021-06-01 23:16:06.748,/master/welcome,604
2021-06-01 23:16:08.337,/master/welcome,191
2021-06-01 23:16:09.053,/master/welcome,593
2021-06-01 23:16:09.323,/master/welcome,193
2021-06-01 23:16:09.515,/master/welcome,164
2021-06-01 23:16:10.216,/master/sign-in,591
2021-06-01 23:16:11.523,/master/welcome,610
2021-06-01 23:16:12.367,/manager/task/list,596
2021-06-01 23:16:13.194,/manager/task/show,596
2021-06-01 23:16:13.411,/master/welcome,172
2021-06-01 23:16:14.116,/master/welcome,595
2021-06-01 23:16:14.505,/manager/task/show,330
