timestamp,test-class,test-method,time,description,result
2021-06-07 20:09:12.814,acme.testing.manager.task.ManagerTaskCreateServiceTest,createPositive,2257,"[1] recordIndex=0, title=T, description=a, executionStart=2022/02/01 10:00, executionEnd=2022/02/02 10:00, link=http://third.task/public/finished, workload=0:01",The system doesn't navigate from '/master/sign-in' to '/master/welcome'
2021-06-07 20:09:15.303,acme.testing.manager.task.ManagerTaskCreateServiceTest,createPositive,2258,"[2] recordIndex=1, title=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, description=A public finished task which is the second one, executionStart=2022/02/01 10:00, executionEnd=2022/02/02 10:00, link=null, workload=0:02",The system doesn't navigate from '/master/sign-in' to '/master/welcome'
2021-06-07 20:09:17.755,acme.testing.manager.task.ManagerTaskCreateServiceTest,createPositive,2216,"[3] recordIndex=2, title=Public finished task number three, description=a, executionStart=2022/02/01 10:00, executionEnd=2022/02/02 10:00, link=http://third.task/public/finished, workload=24:00",The system doesn't navigate from '/master/sign-in' to '/master/welcome'
2021-06-07 20:09:20.22,acme.testing.manager.task.ManagerTaskCreateServiceTest,createPositive,2242,"[4] recordIndex=3, title=Public finished task number four, description=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, executionStart=2022/02/01 14:00, executionEnd=2022/02/02 10:00, link=null, workload=23:59",The system doesn't navigate from '/master/sign-in' to '/master/welcome'
2021-06-07 20:09:26.279,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5855,"[1] recordIndex=0, title=null, description=null, executionStart=null, executionEnd=null, link=null, workload=null",OK
2021-06-07 20:09:31.933,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5450,"[2] recordIndex=1, title=0, description=0, executionStart=0, executionEnd=0, link=0, workload=0",OK
2021-06-07 20:09:37.585,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5431,"[3] recordIndex=2, title=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, description=a, executionStart=yesterday, executionEnd=yesterday, link=null, workload=http://sixth.task/public/finished",OK
2021-06-07 20:09:43.337,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5533,"[4] recordIndex=3, title=a, description=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa…, executionStart=tomorrow, executionEnd=2012/12/23 19:00, link=a, workload=http://sixth.task/public/finished",OK
2021-06-07 20:09:48.989,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5433,"[5] recordIndex=4, title=a, description=a, executionStart=2012/12/23 19:00, executionEnd=http://sixth.task/public/finished, link=null, workload=http://sixth.task/public/finished",OK
2021-06-07 20:09:54.647,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5442,"[6] recordIndex=5, title=a, description=a, executionStart=2022/12/23 19:00, executionEnd=2012/12/23 19:00, link=null, workload=0:00",OK
